1  -2.9286E+03
5  -3.0251E+03
10  -3.2180E+03
15  -3.4808E+03
20  -3.7685E+03
25  -3.8063E+03
30  -3.8901E+03
35  -3.9161E+03
40  -3.9299E+03
45  -3.9427E+03
50  -4.0077E+03
55  -4.0165E+03
60  -4.0239E+03
65  -4.0301E+03
70  -4.0374E+03
75  -3.9665E+03
80  -3.9738E+03
85  -3.9776E+03
90  -3.9814E+03
95  -3.9850E+03
100  -4.0202E+03
105  -4.0233E+03
110  -4.0256E+03
115  -4.0280E+03
120  -4.0305E+03
125  -4.0128E+03
130  -4.0148E+03
135  -4.0177E+03
140  -4.0196E+03
145  -4.0203E+03
150  -4.1368E+03
155  -4.1389E+03
160  -4.1415E+03
165  -4.1442E+03
170  -4.1471E+03
175  -4.0402E+03
180  -4.0432E+03
185  -4.0463E+03
190  -4.0474E+03
195  -4.0548E+03
200  -4.0814E+03
205  -4.0904E+03
210  -4.0953E+03
215  -4.0974E+03
220  -4.1083E+03
225  -4.0247E+03
230  -4.0308E+03
235  -4.0365E+03
240  -4.0435E+03
245  -4.0495E+03
250  -4.1106E+03
255  -4.1187E+03
260  -4.1340E+03
265  -4.1392E+03
270  -4.1418E+03
275  -4.1656E+03
280  -4.1658E+03
285  -4.1666E+03
290  -4.1676E+03
295  -4.1682E+03
300  -4.1517E+03
305  -4.1517E+03
310  -4.1527E+03
315  -4.1535E+03
320  -4.1541E+03
325  -4.2142E+03
330  -4.2147E+03
335  -4.2156E+03
340  -4.2167E+03
345  -4.2175E+03
350  -4.2361E+03
355  -4.2367E+03
360  -4.2378E+03
365  -4.2391E+03
370  -4.2399E+03
375  -4.2295E+03
380  -4.2299E+03
385  -4.2310E+03
390  -4.2324E+03
395  -4.2335E+03
400  -4.2361E+03
405  -4.2368E+03
410  -4.2382E+03
415  -4.2398E+03
420  -4.2406E+03
425  -4.2319E+03
430  -4.2323E+03
435  -4.2332E+03
440  -4.2341E+03
445  -4.2345E+03
450  -4.1716E+03
455  -4.1713E+03
460  -4.1723E+03
465  -4.1728E+03
470  -4.1730E+03
475  -4.1730E+03
480  -4.1728E+03
485  -4.1737E+03
490  -4.1740E+03
495  -4.1742E+03
500  -4.1696E+03
